,1001
0.000,0.000
0.001,0.000
0.002,0.000
0.003,0.000
0.004,0.000
0.005,0.000
0.006,0.000
0.007,0.000
0.008,0.000
0.009,0.000
0.010,0.000
0.011,0.000
0.012,0.000
0.013,0.000
0.014,0.000
0.015,0.000
0.016,0.000
0.017,0.000
0.018,0.000
0.019,0.000
0.020,0.000
0.021,0.000
0.022,0.000
0.023,0.001
0.024,0.001
0.025,0.001
0.026,0.001
0.027,0.001
0.028,0.001
0.029,0.001
0.030,0.001
0.031,0.001
0.032,0.001
0.033,0.001
0.034,0.001
0.035,0.001
0.036,0.001
0.037,0.001
0.038,0.001
0.039,0.002
0.040,0.002
0.041,0.002
0.042,0.002
0.043,0.002
0.044,0.002
0.045,0.002
0.046,0.002
0.047,0.002
0.048,0.002
0.049,0.002
0.050,0.003
0.051,0.003
0.052,0.003
0.053,0.003
0.054,0.003
0.055,0.003
0.056,0.003
0.057,0.003
0.058,0.003
0.059,0.003
0.060,0.004
0.061,0.004
0.062,0.004
0.063,0.004
0.064,0.004
0.065,0.004
0.066,0.004
0.067,0.004
0.068,0.005
0.069,0.005
0.070,0.005
0.071,0.005
0.072,0.005
0.073,0.005
0.074,0.005
0.075,0.006
0.076,0.006
0.077,0.006
0.078,0.006
0.079,0.006
0.080,0.006
0.081,0.007
0.082,0.007
0.083,0.007
0.084,0.007
0.085,0.007
0.086,0.007
0.087,0.008
0.088,0.008
0.089,0.008
0.090,0.008
0.091,0.008
0.092,0.008
0.093,0.009
0.094,0.009
0.095,0.009
0.096,0.009
0.097,0.009
0.098,0.010
0.099,0.010
0.100,0.010
0.101,0.010
0.102,0.010
0.103,0.011
0.104,0.011
0.105,0.011
0.106,0.011
0.107,0.011
0.108,0.012
0.109,0.012
0.110,0.012
0.111,0.012
0.112,0.013
0.113,0.013
0.114,0.013
0.115,0.013
0.116,0.013
0.117,0.014
0.118,0.014
0.119,0.014
0.120,0.014
0.121,0.015
0.122,0.015
0.123,0.015
0.124,0.015
0.125,0.016
0.126,0.016
0.127,0.016
0.128,0.016
0.129,0.017
0.130,0.017
0.131,0.017
0.132,0.017
0.133,0.018
0.134,0.018
0.135,0.018
0.136,0.018
0.137,0.019
0.138,0.019
0.139,0.019
0.140,0.020
0.141,0.020
0.142,0.020
0.143,0.020
0.144,0.021
0.145,0.021
0.146,0.021
0.147,0.022
0.148,0.022
0.149,0.022
0.150,0.022
0.151,0.023
0.152,0.023
0.153,0.023
0.154,0.024
0.155,0.024
0.156,0.024
0.157,0.025
0.158,0.025
0.159,0.025
0.160,0.026
0.161,0.026
0.162,0.026
0.163,0.027
0.164,0.027
0.165,0.027
0.166,0.028
0.167,0.028
0.168,0.028
0.169,0.029
0.170,0.029
0.171,0.029
0.172,0.030
0.173,0.030
0.174,0.030
0.175,0.031
0.176,0.031
0.177,0.031
0.178,0.032
0.179,0.032
0.180,0.032
0.181,0.033
0.182,0.033
0.183,0.033
0.184,0.034
0.185,0.034
0.186,0.035
0.187,0.035
0.188,0.035
0.189,0.036
0.190,0.036
0.191,0.036
0.192,0.037
0.193,0.037
0.194,0.038
0.195,0.038
0.196,0.038
0.197,0.039
0.198,0.039
0.199,0.040
0.200,0.040
0.201,0.040
0.202,0.041
0.203,0.041
0.204,0.042
0.205,0.042
0.206,0.042
0.207,0.043
0.208,0.043
0.209,0.044
0.210,0.044
0.211,0.045
0.212,0.045
0.213,0.045
0.214,0.046
0.215,0.046
0.216,0.047
0.217,0.047
0.218,0.048
0.219,0.048
0.220,0.048
0.221,0.049
0.222,0.049
0.223,0.050
0.224,0.050
0.225,0.051
0.226,0.051
0.227,0.052
0.228,0.052
0.229,0.052
0.230,0.053
0.231,0.053
0.232,0.054
0.233,0.054
0.234,0.055
0.235,0.055
0.236,0.056
0.237,0.056
0.238,0.057
0.239,0.057
0.240,0.058
0.241,0.058
0.242,0.059
0.243,0.059
0.244,0.060
0.245,0.060
0.246,0.061
0.247,0.061
0.248,0.062
0.249,0.062
0.250,0.062
0.251,0.063
0.252,0.064
0.253,0.064
0.254,0.065
0.255,0.065
0.256,0.066
0.257,0.066
0.258,0.067
0.259,0.067
0.260,0.068
0.261,0.068
0.262,0.069
0.263,0.069
0.264,0.070
0.265,0.070
0.266,0.071
0.267,0.071
0.268,0.072
0.269,0.072
0.270,0.073
0.271,0.073
0.272,0.074
0.273,0.075
0.274,0.075
0.275,0.076
0.276,0.076
0.277,0.077
0.278,0.077
0.279,0.078
0.280,0.078
0.281,0.079
0.282,0.080
0.283,0.080
0.284,0.081
0.285,0.081
0.286,0.082
0.287,0.082
0.288,0.083
0.289,0.084
0.290,0.084
0.291,0.085
0.292,0.085
0.293,0.086
0.294,0.086
0.295,0.087
0.296,0.088
0.297,0.088
0.298,0.089
0.299,0.089
0.300,0.090
0.301,0.091
0.302,0.091
0.303,0.092
0.304,0.092
0.305,0.093
0.306,0.094
0.307,0.094
0.308,0.095
0.309,0.095
0.310,0.096
0.311,0.097
0.312,0.097
0.313,0.098
0.314,0.099
0.315,0.099
0.316,0.100
0.317,0.100
0.318,0.101
0.319,0.102
0.320,0.102
